amfi_code,Maximum_Drawdown,Worst_Date,Sharpe_Ratio,Alpha,CAGR_Rank,Sharpe_Rank,Alpha_Rank,Drawdown_Rank,Fund_Score
120507,-0.000977314004592568,2025-10-20,0.4957233929533123,0.06747180157927476,31.0,23.0,31.0,1.0,21.5
120844,-0.0011629327956168764,2024-04-30,-0.08874729621557288,0.06454601487990588,32.0,34.0,32.0,2.0,25.0
101208,-0.001622498024471732,2023-09-12,-0.8155673679088263,0.06084211292226629,33.0,40.0,33.0,3.0,27.25
100025,-0.04308263824636346,2023-07-28,-0.5670947928476846,0.043189313078713834,38.0,39.0,38.0,4.0,29.75
119120,-0.043287289239700974,2025-04-01,-0.22657538662791576,0.055762723198290544,34.0,37.0,34.0,5.0,27.5
118636,-0.08316361763638701,2024-02-09,-0.3566295075143678,0.05096267106480351,35.0,38.0,35.0,6.0,28.5
102885,-0.10859862152502323,2022-03-29,0.8170993373494367,0.16992711557794749,19.0,16.0,19.0,7.0,15.25
148567,-0.1126572907502827,2023-10-20,1.4482911703262598,0.2711501636821103,7.0,1.0,7.0,8.0,5.75
101206,-0.11291596329323078,2023-07-05,1.0272133278753695,0.2139447485061358,12.0,9.0,12.0,9.0,10.5
118635,-0.11650624505409093,2022-06-09,0.664856998549062,0.15160602363545675,23.0,19.0,23.0,10.0,18.75
119552,-0.118034935027643,2024-09-02,0.9532794968660104,0.1982932218749148,15.0,12.0,15.0,11.0,13.25
120504,-0.12588275606922514,2023-05-30,1.0265242847993001,0.2120943009940057,13.0,10.0,13.0,12.0,12.0
120843,-0.1297396816518679,2022-04-13,1.3067439695428409,0.2727835993505962,5.0,2.0,5.0,13.0,6.25
120503,-0.13897862823061635,2023-11-09,0.7979728586052847,0.17587937785242744,18.0,17.0,18.0,14.0,16.75
119092,-0.14401617909337266,2025-02-07,0.03078485095458594,0.0697017081135713,30.0,31.0,30.0,15.0,26.5
149322,-0.14844576917771746,2022-02-04,0.4640374492204776,0.13129906992674878,24.0,25.0,24.0,16.0,22.25
119551,-0.15012385498645334,2024-02-05,1.2082665673727175,0.23219648016717326,10.0,4.0,10.0,17.0,10.25
125497,-0.15200013055606393,2025-01-01,0.7757902498211205,0.1789129568352085,16.0,18.0,16.0,18.0,17.0
148568,-0.1527259422823477,2024-01-24,0.9262873467360146,0.2079171509667248,14.0,15.0,14.0,19.0,15.5
100033,-0.1621720857464485,2022-05-12,1.093698743534631,0.2723430403957973,6.0,7.0,6.0,20.0,9.75
148569,-0.16396742946932633,2023-10-20,1.2349300257743294,0.28347336470728673,4.0,3.0,4.0,21.0,8.0
149323,-0.17248105753451382,2022-10-24,1.1321218524747243,0.26583594480787764,8.0,6.0,8.0,22.0,11.0
118632,-0.17414075086657232,2024-07-19,1.0816591793457042,0.21728068775563278,11.0,8.0,11.0,23.0,13.25
120841,-0.17573614164687285,2025-02-14,0.4942725378672349,0.13068278268538389,25.0,24.0,25.0,24.0,24.5
120505,-0.1818851357211629,2025-01-23,1.1801011976606492,0.29301371282563315,3.0,5.0,3.0,25.0,9.0
118633,-0.1862974313859551,2024-02-29,0.6452074382933215,0.15503795076034138,22.0,21.0,22.0,26.0,22.75
120506,-0.1982565826298267,2023-08-14,0.6488787755249534,0.16283731486753183,20.0,20.0,20.0,27.0,21.75
119094,-0.20960883862039192,2022-08-11,0.9982309868636413,0.25997054053321056,9.0,11.0,9.0,28.0,14.25
125498,-0.2111727956013212,2025-09-12,0.3006119210425478,0.12055386350487392,26.0,27.0,26.0,29.0,27.0
102887,-0.21539827112383228,2022-07-04,0.6195175900829828,0.16179316452470288,21.0,22.0,21.0,30.0,23.5
119093,-0.2175139637014823,2023-05-22,0.12961449795669328,0.08329931222337687,28.0,29.0,28.0,31.0,29.0
118634,-0.2334488614483311,2026-02-20,0.44843400890899127,0.1780020912356628,17.0,26.0,17.0,32.0,23.0
120842,-0.24003511326274882,2024-10-17,0.07599984804658921,0.0785865149291694,29.0,30.0,29.0,33.0,30.25
100016,-0.247344408806733,2022-09-15,-0.20151706755966936,0.03622082583927385,39.0,35.0,39.0,34.0,36.75
102886,-0.2800112356639287,2026-04-27,-0.20583160785470309,0.028949366251249286,40.0,36.0,40.0,35.0,37.75
119598,-0.28706005721764555,2025-05-14,0.9453082575156095,0.3011144193310002,1.0,14.0,1.0,36.0,13.0
149324,-0.3117190030063422,2025-01-03,0.9497958246616031,0.2981786893056835,2.0,13.0,2.0,37.0,13.5
101207,-0.3544691649336603,2026-05-11,0.16266076928646772,0.10820454812152297,27.0,28.0,27.0,38.0,30.0
119095,-0.5167775370852657,2026-05-11,-0.0759735711747892,0.045680128064692294,37.0,33.0,37.0,39.0,36.5
119599,-0.525742211701285,2025-10-28,-0.05718662582817995,0.050572431452751046,36.0,32.0,36.0,40.0,36.0
